"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
33,"NCT01031199","Evaluation of the Positron Emission Tomography (PET) Tracer ZK 6032924 in Patients With Multiple Sclerosis Compared to Healthy Volunteers",,"Completed","No Results Available","Positron-Emission Tomography|Multiple Sclerosis","Drug: F-18 FEDAA1106 (BAY85-8101)","Standard quantification variables derived from 3D PET imaging and brain modeling.|Visual analysis/description of the uptake and description of brain PET scans.|Standard Safety Parameter: Adverse Event Collection|Standard Safety Parameter: Electrocardiogram|Standard Safety Parameter: Safety laboratory|Standard Safety Parameter: Vital signs","Bayer","All","20 Years to 55 Years   (Adult)","Phase 1","16","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","13101|2008-000981-22","January 2009","December 2009","December 2009","December 14, 2009","null","April 2, 2014","Heidelberg, Victoria, Australia|Stockholm, Sweden","","https://ClinicalTrials.gov/show/NCT01031199"
34,"NCT00791063","18F ML-10 for Early Detection of Response of Brain Metastases to WBRT",,"Completed","No Results Available","Solid Tumors|Brain Metastases","Other: 18F ML-10","Assessment of a change in the uptake of [18F]- ML-10 by the tumor as observed in comparing the PET scans before and after WBRT.|Assessment of a relationship between the change in uptake of [18F]- ML-10 by the tumor, observed in the PET scans obtained during the study, and tumor shrinkage in response to treatment, as assessed by MRI or CT according to the RECIST criteria.|Detection of a potential change in the uptake of [18F]- ML-10 by the healthy brain tissue, as observed in comparing the PET/CT scans before and after WBRT, reflecting potential damage to intact brain tissue, as an adverse effect of the irradiation.|Assessment of the correlation between the PET/CT region of interest (ROI), delineated by [18F]-ML-10 imaging, and the corresponding anatomical imaging.|Assessment of the safety of [18F]-ML-10 when administered to cancer patients undergoing WBRT.","Aposense Ltd.","All","18 Years and older   (Adult, Older Adult)","Phase 2","10","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","NST-CA001CTIL","March 2008","December 2008","December 2008","November 14, 2008","null","February 13, 2013","","","https://ClinicalTrials.gov/show/NCT00791063"
35,"NCT00605254","PET Imaging of P-glycoprotein Function Using [11C]dLop",,"Completed","No Results Available","Healthy","","PET","National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)","All","18 Years to 51 Years   (Adult)","","58","NIH","Observational","Observational Model: Case-Crossover|Time Perspective: Prospective","080062|08-M-0062","January 24, 2008","null","September 4, 2014","January 31, 2008","null","August 17, 2018","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States","","https://ClinicalTrials.gov/show/NCT00605254"
36,"NCT01106976","Imaging Biomarkers of Progression of Mobility Impairment in Parkinson Disease",,"Completed","Has Results","Parkinson's Disease","","AChE PET Neuroimaging","VA Office of Research and Development|University of Michigan","All","50 Years and older   (Adult, Older Adult)","","67","U.S. Fed|Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","E7285-R","May 2010","September 2014","March 2015","April 20, 2010","February 1, 2016","February 1, 2016","VA Ann Arbor Healthcare System, Ann Arbor, MI, Ann Arbor, Michigan, United States","","https://ClinicalTrials.gov/show/NCT01106976"
37,"NCT02090855","Re-Read Study to Compare the Brain Uptake of [18F]Flutemetamol With Brain Neuritic Plaque Density Determined Postmortem",,"Completed","Has Results","Cognitive Impairment","","The Number of Abnormal Blinded Visual PET Image Interpretations.|Sensitivity Percentage of Blinded Visual PET Image Interpretations of Subjects With Abnormal Scans|Number of Blinded Visual PET Image Interpretations|Specificity Percentage of Blinded Visual PET Image Interpretations","GE Healthcare|Covance|H2O Clinical LLC","All","55 Years and older   (Adult, Older Adult)","","108","Industry","Observational","Observational Model: Cohort|Time Perspective: Retrospective","GE-067-026","September 2013","February 2014","February 2014","March 18, 2014","August 27, 2014","March 27, 2017","GE Healthcare, Princeton, New Jersey, United States","","https://ClinicalTrials.gov/show/NCT02090855"
38,"NCT03440112","Modulation of GABA-A Receptors in Parkinson Disease-Clarithromycin Arm","GABA-A","Recruiting","No Results Available","Parkinson Disease","Drug: Clarithromycin|Drug: Placebo","Change in [11-Carbon]-flumazenil ([11C]FMZ) PET Binding|Change in quantitative biomechanics","Nicolaas Bohnen, MD, PhD|National Institute of Neurological Disorders and Stroke (NINDS)|University of Michigan","All","50 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","30","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Other","HUM00360361-A|R01NS099535","January 29, 2018","November 15, 2021","November 15, 2021","February 20, 2018","null","July 9, 2018","University of Michigan Health System Functional Neuroimaging, Cognitive and Mobility Laboratory, Ann Arbor, Michigan, United States","","https://ClinicalTrials.gov/show/NCT03440112"
39,"NCT02599753","Investigating the Microstructural and Functional Alterations of Brain in Parkinson's Disease Patients",,"Completed","No Results Available","Parkinson's Disease","Drug: 18-FDTBZ","The difference of specific uptake ratio (SUR) of 18F- DTBZ between each diagnostic group|The difference of eigenvalues obtained from diffusion tensor imaging (DTI) between each diagnostic group.","Chang Gung Memorial Hospital","All","20 Years to 80 Years   (Adult, Older Adult)","Phase 2","35","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","101-4874A","August 2015","July 31, 2018","July 31, 2018","November 9, 2015","null","August 6, 2018","Chang Gung Memory Hospital, Taoyuan, Taiwan","","https://ClinicalTrials.gov/show/NCT02599753"
40,"NCT01301040","Early Cardiac Toxicity of Adjuvant CT in Elderly BC.",,"Terminated","No Results Available","Breast Cancer","Drug: epirubicin, cyclophosphamide, docetaxel","The difference between cardiac strain rates measured at baseline and after 4 cycles of chemotherapy.","Jules Bordet Institute|Sanofi","Female","65 Years and older   (Older Adult)","Phase 2","2","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","IJB 11-01|2011-000562-35","March 2011","March 2013","March 2016","February 23, 2011","null","August 30, 2013","Institut Jules Bordet, Brussels, Belgium","","https://ClinicalTrials.gov/show/NCT01301040"
41,"NCT02207075","Measuring Active Microglia in Progressive Multiple Sclerosis",,"Active, not recruiting","No Results Available","Secondary Progressive Multiple Sclerosis","Radiation: [C11]PK-1195 PET scan","Measure the level of baseline and change of whole brain uptake of [11C]PK-11195 at 6, 12 and 24 months in SPMS subjects.|To correlate the change in T2-hyperintense lesion volume at 6,12 and 24 months of with whole brain uptake of [11C]PK-11195 on PET (at the 6,12 and 24 months) in SPMS subjects.|To correlate the change of conventional MRI measures of neuronal integrity (Gray Matter Fraction, White Matter Fraction, whole brain volume, T1-hypointense lesion volume) at 6,12 and 24 months with whole brain PET uptake of [11C]PK-11195 (at the 6,12 and|To correlate the change in whole brain PET uptake of [11C]PK-11195 (at the 6,12 and 24 months) and level in disability, as measured by a change in EDSS at 6, 12, and 24 months in SPMS subjects.","Weill Medical College of Cornell University|Genzyme, a Sanofi Company","All","18 Years to 80 Years   (Adult, Older Adult)","","26","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","1309014365","July 2014","March 2020","March 2020","August 1, 2014","null","February 14, 2018","Weill Cornell Medical College, New York, New York, United States","","https://ClinicalTrials.gov/show/NCT02207075"
42,"NCT01723488","A Phase 0, Open Label, Multi-Center, Exploratory and Safety Study of [F-18]T808","T808","Terminated","No Results Available","Alzheimers Disease","Radiation: [F18] T808","To monitor and assess the safety of IV administration of [F-18]T808|To begin collection of baseline [F-18]T808 PET/CT imaging data","Avid Radiopharmaceuticals","All","55 Years and older   (Adult, Older Adult)","Early Phase 1","12","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)","T808000","July 2012","March 2013","March 2013","November 8, 2012","null","July 19, 2013","Research Site, Irvine, California, United States|Research Site, Los Angeles, California, United States","","https://ClinicalTrials.gov/show/NCT01723488"
43,"NCT03539731","[18F]DASA-23 and PET Scan in Evaluating Pyruvate Kinase M2 Expression in Patients With Intracranial Tumors or Recurrent Glioblastoma and Healthy Volunteers",,"Recruiting","No Results Available","Healthy Subject|Intracranial Neoplasm|Recurrent Glioblastoma","Drug: Fluorine F 18 DASA-23|Procedure: Positron Emission Tomography","Change in [18F]DASA-23 PET scan signal in patients with suspected recurrent glioblastoma|Sensitivity of [18F]DASA-23 PET imaging in identifying intracranial tumors in patients with intracranial tumors.|Specificity of [18F]DASA-23 PET imaging in identifying intracranial tumors in patients with intracranial tumors.|Accuracy of [18F]DASA-23 PET imaging in identifying intracranial tumors in patients with intracranial tumors.|Progression-free survival in patients with suspected recurrent glioblastoma|Overall survival in patients with suspected recurrent glioblastoma","Sanjiv Sam Gambhir|Stanford University","All","18 Years and older   (Adult, Older Adult)","Phase 1","25","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","BRN0038|NCI-2018-00826|44597","April 23, 2018","April 23, 2020","April 23, 2020","May 28, 2018","null","May 28, 2018","Stanford University, School of Medicine, Palo Alto, California, United States","","https://ClinicalTrials.gov/show/NCT03539731"
44,"NCT02681172","Impact of FBB PET Amyloid Imaging in Change of Diagnosis in Patients With AD",,"Completed","No Results Available","Alzheimer's Disease (AD)","Drug: Neuraceq (florbetaben 18F)|Procedure: PET","Change of diagnosis comparing pre- and post-scan outcomes|Change in level of physician confidence in diagnosis|Percentage of subjects with Lumbar Puncture (LP) not feasible due to medical condition|Percentage of subjects with ambiguous CSF result|Mean age of subjects|Number of subjects with positive FBB PET scan|Number of subjects with negative FBB PET scans","Piramal Imaging Limited","All","18 Years to 90 Years   (Adult, Older Adult)","Phase 4","218","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","FBB_01_02_2015|2015-002606-37","October 2015","September 2016","November 2016","February 12, 2016","null","November 9, 2016","Coordinating center (Hôpital de La Timone) and 18 associated centers in France, Marseille, France","","https://ClinicalTrials.gov/show/NCT02681172"
45,"NCT01565343","A Study of 18F-AV-45 in Alzheimer's Disease (AD) and Healthy Volunteers",,"Completed","Has Results","Alzheimer's Disease","Drug: florbetapir F 18","Mean Cortical to Cerebellum SUVR","Avid Radiopharmaceuticals","All","35 Years and older   (Adult, Older Adult)","Phase 1","25","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Diagnostic","18F-AV-45-A04","April 2008","April 2009","April 2009","March 28, 2012","May 2, 2012","May 10, 2012","Research Site, New Haven, Connecticut, United States|Research Site, Hallandale Beach, Florida, United States|Research Site, West Palm Beach, Florida, United States|Research Site, North East, Maryland, United States","","https://ClinicalTrials.gov/show/NCT01565343"
46,"NCT03625128","18F-PM-PBB3 PET Study in Tauopathy Including Alzheimer's Disease, Other Dementias and Normal Controls",,"Active, not recruiting","No Results Available","Alzheimer's Disease|Cortical Basal Syndrome|Frontotemporal Dementia|Progressive Supranuclear Palsy|Vascular Cognitive Impairment","Drug: F-18","The primary outcome measures are to evaluate the dosimetry of novel radiotracer 18F-PM-PBB3 in human.|Optimal scanning time for brain imaging using 18F-PM-PBB3 .","Chang Gung Memorial Hospital","All","20 Years to 90 Years   (Adult, Older Adult)","Early Phase 1","36","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","201700982A0","January 2, 2018","August 3, 2018","August 3, 2018","August 10, 2018","null","August 10, 2018","Chang Gung Memorial Hospital,Linkou, Taoyuan City, Guishan Dist, Taiwan","","https://ClinicalTrials.gov/show/NCT03625128"
47,"NCT02236065","Combination Therapy of Cord Blood and G-CSF for Patients With Brain Injury or Neurodegenerative Disorders",,"Completed","No Results Available","Brain Injury|Cerebral Palsy|Amyotrophic Lateral Sclerosis|Parkinson's Disease","Procedure: Umbilical cord blood therapy|Biological: Filgrastim","Changes in Berg Balance Scale|Changes in the Level of Disability|Changes in Standardized Gross Motor Function|Changes in Motor Performance|Changes in ALSFRS-R|Changes in UPDRS|Changes in Brain MRI|Changes in Brain PET|Number of adverse events and participants with those adverse events","MinYoung Kim, M.D.|Bundang CHA Hospital","All","19 Years to 75 Years   (Adult, Older Adult)","Not Applicable","10","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","UCBnG-CSF","August 2014","July 2016","July 2016","September 10, 2014","null","October 12, 2017","CHA Bundang Medical Center, CHA University, Seongnam-si, Gyeonggi-do, Korea, Republic of","","https://ClinicalTrials.gov/show/NCT02236065"
